%time,field.header.seq,field.header.stamp,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1683047723.938154023,108,1683047723.938154023,-0.0102323,0.00182176,-0.00207263,0.000179844,-0.000123305,0.000237964,1
1683047724.054130458,109,1683047724.054130458,-0.00862506,0.00215373,-0.000625535,0.000169876,-0.00010057,0.000209474,1
1683047724.139536008,110,1683047724.139536008,-0.00778529,0.00190913,-0.000705486,0.000198092,-0.000134695,0.000202361,1
1683047724.251308918,111,1683047724.251308918,-0.0111859,-0.000224844,0.00138211,0.000144901,-0.000104134,0.000294135,1
1683047724.336469672,112,1683047724.336469672,-0.0125822,0.000134052,0.00102487,0.000181381,-9.70664e-05,0.000286621,1
1683047724.411286205,113,1683047724.411286205,-0.011889,0.000363832,0.00176353,0.000219651,-4.06105e-05,0.000342858,1
1683047724.525798380,114,1683047724.525798380,-0.012853,-0.000556137,0.00292943,0.000156582,-6.51935e-05,0.000358037,1
1683047724.633401370,115,1683047724.633401370,-0.0124421,-0.000450665,0.00328832,0.000165614,-7.27327e-05,0.000285217,1
1683047724.729945751,116,1683047724.729945751,-0.0133367,-0.000760324,0.00287581,0.000188673,-2.21008e-05,0.000338216,1
1683047724.828250411,117,1683047724.828250411,-0.00978499,-0.000714343,0.00149075,0.00016001,-4.83858e-05,0.000292764,1
1683047724.903877073,118,1683047724.903877073,-0.0108842,0.00205076,-0.000795706,0.000178999,-0.0001592,0.000258101,1
1683047725.000427308,119,1683047725.000427308,-0.0128415,0.00257926,-0.00123029,0.000185328,-0.000133701,0.00020051,1
1683047725.100921718,120,1683047725.100921718,-0.0123895,0.00164314,-0.0016622,0.000213052,-0.000111021,0.000228855,1
1683047725.203619383,121,1683047725.203619383,-0.0110908,0.00211779,-0.00182097,0.00018092,-0.000127032,0.000283706,1
1683047725.308351702,122,1683047725.308351702,-0.0116338,-1.02225e-05,0.000782455,0.000179339,-0.000118694,0.000287664,1
1683047725.411350752,123,1683047725.411350752,-0.0122473,0.0007919,0.000531179,0.000183528,-0.000131912,0.000349385,1
1683047725.527958851,124,1683047725.527958851,-0.0118047,0.00218152,0.000794005,0.000183512,-8.10875e-05,0.000329392,1
1683047725.621647509,125,1683047725.621647509,-0.0147575,0.000735417,0.00377131,0.000166049,-1.52924e-05,0.000292911,1
1683047725.723485622,126,1683047725.723485622,-0.0139332,0.000718946,0.00490755,0.000204828,-1.39576e-05,0.000307718,1
1683047725.824426305,127,1683047725.824426305,-0.0145087,-0.000317445,0.00352118,0.000247409,-2.34856e-05,0.000350394,1
1683047725.935135761,128,1683047725.935135761,-0.0142431,0.000154001,0.00211515,0.000197457,-5.48695e-05,0.000329659,1
1683047726.001336627,129,1683047726.001336627,-0.0119714,0.000334227,-0.00044576,0.000227058,-0.000111765,0.00020886,1
1683047726.101386881,130,1683047726.101386881,-0.0115913,0.00174144,-0.00290882,0.000203883,-0.000133279,0.00021984,1
1683047726.201351303,131,1683047726.201351303,-0.0131756,0.000260268,-0.00265832,0.000177702,-0.000143602,0.000280199,1
1683047726.312299205,132,1683047726.312299205,-0.0123107,-0.000420629,0.000290977,0.000114946,-0.000122914,0.000291587,1
1683047726.415379152,133,1683047726.415379152,-0.0158453,0.000176772,0.000669682,0.000180956,-0.000113292,0.000364378,1
1683047726.514746526,134,1683047726.514746526,-0.0145778,0.00130777,0.000901152,0.000187119,-8.44103e-05,0.000293566,1
1683047726.612118783,135,1683047726.612118783,-0.0151385,3.89149e-05,0.00117599,0.000177203,-0.000104447,0.000420407,1
1683047726.720469699,136,1683047726.720469699,-0.0154339,0.000187268,0.00130727,0.000117889,-8.23187e-05,0.00041756,1
1683047726.824248515,137,1683047726.824248515,-0.0146467,0.00120389,0.00235408,0.000155042,-4.34221e-05,0.000257273,1
1683047726.899633522,138,1683047726.899633522,-0.0136753,0.00242832,-0.00110779,0.000205667,-0.000115774,0.000218247,1
1683047726.998276565,139,1683047726.998276565,-0.0121934,0.00307348,-0.00293737,0.000161129,-0.000133455,0.000223359,1
1683047727.101563272,140,1683047727.101563272,-0.0101378,0.00385248,-0.00379569,0.000157872,-0.000194245,0.000196157,1
1683047727.210195211,141,1683047727.210195211,-0.01401,0.00137075,0.000444876,0.000148192,-0.000105577,0.000338548,1
1683047727.308880133,142,1683047727.308880133,-0.0144143,0.000798476,0.00159939,0.000196745,-7.15789e-05,0.000291814,1
1683047727.413941466,143,1683047727.413941466,-0.015824,-0.000358896,-0.000104792,0.000188477,-0.00012402,0.000461363,1
1683047727.510712634,144,1683047727.510712634,-0.0158507,5.103e-05,-0.00132939,0.000152882,-0.000157973,0.00033841,1
1683047727.619686192,145,1683047727.619686192,-0.0154825,0.00121013,0.00095188,0.000124921,-8.4529e-05,0.000316446,1
1683047727.724637501,146,1683047727.724637501,-0.0143941,0.00218656,0.00304949,0.000175512,-1.37278e-05,0.000290053,1
1683047727.821547952,147,1683047727.821547952,-0.0130944,0.000633602,0.00245253,0.000167944,-3.04846e-05,0.000311137,1
1683047727.904979563,148,1683047727.904979563,-0.0145205,0.00258244,-0.00219232,0.000202142,-0.000124238,0.00022883,1
1683047728.001436628,149,1683047728.001436628,-0.0136248,0.002051,-0.00391922,0.000135366,-0.000174646,0.000321797,1
1683047728.100874638,150,1683047728.100874638,-0.0165747,0.000566207,-0.00453438,0.00018412,-0.000181877,0.000318619,1
1683047728.207775158,151,1683047728.207775158,-0.0170077,0.00187561,-0.00373285,0.000163514,-0.000155754,0.000380408,1
1683047728.313256618,152,1683047728.313256618,-0.0180763,0.00239637,-0.00252441,0.000135711,-0.000187577,0.000317842,1
1683047728.414762121,153,1683047728.414762121,-0.0161771,0.000944645,8.86333e-05,0.000163038,-0.000121306,0.000306971,1
