time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1577840630.49951005,0.05984036,0.00264850,0.00000595,40935.00000000,0.12774358,0.000000,0.000000
1577840630.59934902,0.05975508,0.00249998,0.00000468,40935.00000000,0.01822719,0.000000,0.000000
1577840630.69997787,0.05974609,0.00265669,0.00000758,40946.00000000,0.05535955,0.000000,0.000000
1577840630.79980803,0.05980562,0.00208067,0.00000961,40943.00000000,0.08891501,0.000000,0.000000
1577840630.89964104,0.05979817,0.00267898,0.00000465,40944.00000000,0.05614576,0.000000,0.000000
1577840630.99948382,0.05977158,0.00241581,0.00000469,40950.00000000,0.04671762,0.000000,0.000000
1577840631.09934497,0.05979286,0.00196026,0.00000506,40925.00000000,0.07026237,0.000000,0.000000
1577840631.19999099,0.05980409,0.00254148,0.00000674,40935.00000000,0.06533894,0.000000,0.000000
1577840631.29982805,0.05972001,0.00257127,0.00000521,40941.00000000,0.01818621,0.000000,0.000000
1577840631.39967299,0.05963544,0.00273888,0.00000520,40948.00000000,0.01777038,0.000000,0.000000
1577840631.49950314,0.05956112,0.00596507,0.00000530,40962.00000000,0.02270233,0.000000,0.000000
1577840631.59933686,0.05950708,0.00300197,0.00000525,40954.00000000,0.03264911,0.000000,0.000000
1577840631.69998097,0.05943257,0.00659994,0.00000562,40950.00000000,0.02232652,0.000000,0.000000
1577840631.79983401,0.05937515,0.00846117,0.00000559,40957.00000000,0.03072311,0.000000,0.000000
1577840631.89966798,0.05930914,0.00772236,0.00000618,40962.00000000,0.02630096,0.000000,0.000000
1577840631.99951601,0.05935715,0.00807234,0.00000637,41015.00000000,0.08340919,0.000000,0.000000
1577840632.09935403,0.05933444,0.00665267,0.00001572,41068.00000000,0.04793809,0.000000,0.000000
1577840632.19960093,0.05925536,0.00436598,0.00000563,41138.00000000,0.01947372,0.000000,0.000000
1577840632.29943085,0.05919103,0.00761529,0.00000603,41058.00000000,0.02677044,0.000000,0.000000
1577840632.39966321,0.05911465,0.00408484,0.00000555,41122.00000000,0.02054320,0.000000,0.000000
1577840632.49950600,0.05913410,0.00356407,0.00000713,41127.00000000,0.06897700,0.000000,0.000000
1577840632.59934902,0.05905824,0.00275381,0.00000573,41172.00000000,0.02059680,0.000000,0.000000
1577840632.69997787,0.05899751,0.00278302,0.00000547,41195.00000000,0.02814781,0.000000,0.000000
1577840632.79982495,0.05897950,0.00655698,0.00000889,41195.00000000,0.04981058,0.000000,0.000000
1577840632.89967108,0.05897534,0.00644168,0.00001317,41235.00000000,0.05685271,0.000000,0.000000
1577840632.99950790,0.05896158,0.00540972,0.00000789,41262.00000000,0.05193238,0.000000,0.000000
1577840633.09934378,0.05900630,0.00836587,0.00001123,41261.00000000,0.08190344,0.000000,0.000000
1577840633.19998312,0.05908491,0.00777174,0.00000720,41261.00000000,0.09940918,0.000000,0.000000
1577840633.29982424,0.05910551,0.00257120,0.00000828,41267.00000000,0.06969413,0.000000,0.000000
1577840633.39965487,0.05909558,0.00243726,0.00000476,41240.00000000,0.05398038,0.000000,0.000000
1577840633.49950409,0.05917480,0.00197266,0.00000550,41253.00000000,0.10005697,0.000000,0.000000
1577840633.59932590,0.05909450,0.00204881,0.00000497,41262.00000000,0.01757479,0.000000,0.000000
1577840633.69997001,0.05901094,0.00200088,0.00000441,41258.00000000,0.01573001,0.000000,0.000000
1577840633.79981685,0.05892710,0.00237892,0.00000438,41264.00000000,0.01541493,0.000000,0.000000
1577840633.89964604,0.05884191,0.00200476,0.00000470,41267.00000000,0.01454290,0.000000,0.000000
1577840633.99947596,0.05884960,0.00251405,0.00000890,41256.00000000,0.06285287,0.000000,0.000000
1577840634.09930706,0.05887774,0.00503598,0.00000886,41261.00000000,0.07356672,0.000000,0.000000
1577840634.19995499,0.05893047,0.00394405,0.00001148,41276.00000000,0.08650896,0.000000,0.000000
1577840634.29979396,0.05895539,0.00292122,0.00000493,41286.00000000,0.07201636,0.000000,0.000000
1577840634.39962697,0.05907203,0.00318410,0.00000850,41290.00000000,0.12030405,0.000000,0.000000
1577840634.49947000,0.05914567,0.00624562,0.00000503,41282.00000000,0.09788308,0.000000,0.000000
1577840634.59930801,0.05910856,0.00263248,0.00000478,41304.00000000,0.03955332,0.000000,0.000000
1577840634.69994497,0.05919193,0.00325690,0.00000695,41312.00000000,0.10320654,0.000000,0.000000
1577840634.79978800,0.05912881,0.00251760,0.00000536,41300.00000000,0.02574024,0.000000,0.000000
1577840634.89962292,0.05911097,0.00370808,0.00000548,41307.00000000,0.04965773,0.000000,0.000000
1577840634.99946117,0.05903424,0.00270628,0.00000531,41325.00000000,0.01829055,0.000000,0.000000
1577840635.09929800,0.05899192,0.01841907,0.00000489,41354.00000000,0.03647745,0.000000,0.000000
1577840635.19994116,0.05893763,0.00952131,0.00000476,41350.00000000,0.03000120,0.000000,0.000000
1577840635.29977608,0.05889688,0.00286095,0.00000476,41351.00000000,0.03713718,0.000000,0.000000
1577840635.39962912,0.05882877,0.00323102,0.00000474,41366.00000000,0.02238621,0.000000,0.000000
1577840635.49947119,0.05875350,0.00294439,0.00000461,41360.00000000,0.01840882,0.000000,0.000000
1577840635.59931397,0.05867805,0.00308121,0.00000465,41366.00000000,0.01816481,0.000000,0.000000
1577840635.69995499,0.05860254,0.00268809,0.00000458,41345.00000000,0.01797750,0.000000,0.000000
1577840635.79978490,0.05852650,0.00272632,0.00000475,41354.00000000,0.01754093,0.000000,0.000000
